# TRAINING ITERATION,           G_LOSS,           D_LOSS,         MSE_LOSS,     JACCARD_LOSS
                 227,         -2.45860,        -26.23539,          0.15582,          0.94541
                 228,         -2.21220,        -26.71413,          0.14824,          0.94976
                 229,         -2.38513,        -67.73564,          0.15669,          0.94800
                 230,         -2.16409,        -30.18050,          0.15791,          0.94841
                 231,         -2.13423,        -90.42200,          0.15917,          0.94145
                 232,         -2.38690,        -20.56168,          0.14769,          0.95003
                 233,         -2.22237,        -36.49939,          0.14356,          0.95518
                 234,         -2.37317,        -14.74801,          0.15017,          0.94752
                 235,         -2.35804,        -20.76480,          0.15435,          0.94759
                 236,         -2.25773,        -33.00752,          0.14490,          0.95624
                 237,         -2.26049,        -23.24031,          0.14904,          0.94725
                 238,         -2.31465,        -17.12479,          0.14779,          0.95087
                 239,         -2.29467,        -19.02098,          0.14553,          0.95270
                 240,         -2.34819,       -107.39738,          0.15064,          0.95021
                 241,         -2.39931,        -18.31528,          0.15013,          0.94517
                 242,         -2.34816,        -26.95009,          0.15461,          0.95129
                 243,         -2.41856,        -22.12911,          0.14725,          0.95704
                 244,         -2.40829,        -24.34701,          0.14905,          0.95006
                 245,         -2.40502,        -14.69859,          0.15098,          0.94087
                 246,         -2.19678,        -23.56019,          0.14746,          0.94825
                 247,         -2.33999,        -15.28904,          0.15062,          0.95059
                 248,         -2.41630,        -20.64622,          0.15188,          0.94933
                 249,         -2.41357,        -16.97289,          0.15328,          0.94822
                 250,         -2.32330,        -35.31930,          0.15495,          0.95171
                 251,         -2.42203,        -13.30916,          0.15390,          0.94987
                 252,         -2.29460,        -29.10881,          0.14499,          0.94861
                 253,         -2.33332,        -38.73923,          0.16065,          0.94351
                 254,         -2.37826,        -18.74264,          0.15131,          0.94872
                 255,         -2.37850,        -16.21066,          0.15316,          0.94938
                 256,         -2.32680,        -25.01522,          0.15469,          0.94910
                 257,         -2.41241,        -25.78534,          0.15036,          0.95613
                 258,         -2.29642,        -37.89963,          0.14812,          0.95339
                 259,         -2.21868,        -39.87271,          0.15101,          0.94698
                 260,         -2.25229,        -17.13185,          0.15275,          0.95240
                 261,         -2.30387,        -32.51066,          0.15187,          0.95567
                 262,         -2.24049,        -52.67344,          0.14963,          0.94981
                 263,         -2.15645,        -30.17980,          0.15172,          0.94719
                 264,         -2.16173,        -28.44879,          0.15956,          0.94221
                 265,         -2.39334,        -26.64601,          0.14766,          0.95093
                 266,         -2.42514,        -28.34895,          0.15353,          0.94093
                 267,         -2.25176,        -25.03410,          0.14362,          0.95199
                 268,         -2.44524,        -45.67723,          0.14874,          0.95250
                 269,         -2.25984,        -24.33005,          0.15073,          0.94801
                 270,         -2.36911,        -16.35302,          0.14919,          0.95707
                 271,         -2.22778,        -23.86076,          0.15407,          0.95107
                 272,         -2.44966,        -34.80703,          0.14876,          0.94555
                 273,         -2.16260,        -21.11425,          0.15399,          0.94942
                 274,         -2.23761,        -16.82898,          0.15401,          0.94619
                 275,         -2.35269,        -24.58931,          0.15131,          0.94971
                 276,         -2.34415,        -53.51178,          0.15488,          0.94584
                 277,         -2.15173,        -22.57850,          0.14866,          0.94927
                 278,         -2.26260,        -48.62955,          0.14479,          0.95081
                 279,         -2.27963,        -14.45270,          0.14920,          0.95110
                 280,         -2.20372,        -42.76653,          0.15158,          0.95024
                 281,         -2.26047,        -25.94529,          0.15399,          0.94638
                 282,         -2.32008,        -31.83046,          0.15220,          0.95320
                 283,         -2.24433,        -33.87913,          0.15233,          0.94987
                 284,         -2.24298,        -24.60400,          0.14838,          0.95350
                 285,         -2.40158,        -17.79317,          0.14683,          0.94602
                 286,         -2.15430,        -33.44961,          0.14987,          0.95227
                 287,         -2.16081,        -18.39637,          0.14883,          0.94976
                 288,         -2.08844,        -27.36477,          0.14463,          0.95336
                 289,         -2.32160,        -17.25082,          0.15106,          0.94803
                 290,         -2.24926,        -19.88121,          0.14752,          0.94643
                 291,         -2.23834,        -17.62650,          0.15577,          0.93732
                 292,         -2.17506,        -13.91966,          0.15546,          0.95050
                 293,         -2.28084,        -16.46088,          0.15584,          0.94635
                 294,         -2.16573,        -16.64639,          0.15350,          0.94610
                 295,         -2.20538,        -23.06834,          0.15564,          0.94645
                 296,         -2.31310,        -47.93491,          0.15500,          0.95015
                 297,         -2.32396,        -17.90825,          0.15321,          0.94857
                 298,         -2.06793,        -21.89228,          0.14958,          0.94640
                 299,         -2.22585,        -18.40872,          0.15051,          0.94586
                 300,         -2.06951,        -10.81880,          0.14966,          0.95233
                 301,         -2.39422,        -18.13365,          0.15259,          0.95115
                 302,         -2.11051,        -21.30117,          0.14973,          0.94285
                 303,         -2.08814,        -21.92087,          0.15694,          0.93992
                 304,         -2.07296,        -22.13905,          0.15252,          0.94681
                 305,         -2.32987,        -18.89298,          0.14579,          0.95750
                 306,         -2.23082,        -11.84087,          0.14639,          0.95302
                 307,         -2.10140,        -15.31659,          0.15537,          0.94253
                 308,         -2.23522,        -12.38133,          0.15017,          0.95570
                 309,         -2.31588,        -50.09682,          0.15161,          0.94975
                 310,         -2.09608,        -14.12269,          0.15864,          0.94808
                 311,         -2.11136,        -13.55857,          0.16232,          0.94579
                 312,         -2.33499,        -25.60830,          0.14454,          0.95813
                 313,         -2.22970,        -30.49835,          0.15323,          0.94770
                 314,         -2.27070,        -11.67826,          0.15040,          0.95637
                 315,         -2.30123,        -33.97952,          0.15524,          0.94597
                 316,         -2.17272,        -26.86581,          0.15384,          0.94810
                 317,         -2.27949,        -42.91277,          0.15281,          0.94863
                 318,         -2.25283,        -15.41031,          0.15214,          0.94292
                 319,         -2.29621,        -12.53913,          0.15157,          0.95076
                 320,         -2.09122,        -16.00392,          0.15720,          0.94419
                 321,         -2.27360,        -11.27586,          0.15402,          0.95340
                 322,         -2.15909,        -14.44081,          0.15702,          0.94304
                 323,         -2.17348,        -26.16341,          0.14009,          0.96135
                 324,         -2.07934,        -24.27806,          0.15010,          0.95016
                 325,         -2.33175,        -16.16553,          0.16128,          0.94416
                 326,         -2.30975,        -27.82031,          0.15418,          0.94986
                 327,         -2.43460,        -15.11280,          0.15398,          0.94702
                 328,         -2.27395,        -20.86916,          0.15205,          0.94797
                 329,         -2.33875,        -13.90644,          0.15757,          0.94255
                 330,         -2.30688,        -11.23288,          0.14723,          0.94687
                 331,         -2.22062,        -17.05261,          0.15477,          0.95096
                 332,         -2.15264,        -21.33132,          0.14804,          0.95094
