# TRAINING ITERATION,           G_LOSS,           D_LOSS,         MSE_LOSS,     JACCARD_LOSS
                 224,         -1.34850,         -5.80674,          0.10779,          0.99712
                 225,         -1.42145,         -2.67867,          0.09636,          0.99919
                 226,         -1.24257,         -3.22352,          0.10122,          0.99755
                 227,         -1.55645,         -3.38540,          0.10972,          0.99861
                 228,         -1.44739,         -3.92706,          0.09854,          0.99707
                 229,         -1.26229,         -4.71663,          0.09662,          0.99822
                 230,         -1.39298,         -3.28449,          0.10300,          0.99634
                 231,         -1.22929,         -4.98251,          0.08829,          0.99795
                 232,         -1.28349,         -3.34218,          0.09517,          0.99783
                 233,         -1.51846,         -4.82357,          0.09789,          0.99756
                 234,         -1.54781,         -4.14120,          0.10501,          0.99914
                 235,         -1.37714,         -3.42061,          0.10035,          0.99957
                 236,         -1.24191,         -2.76663,          0.09188,          0.99462
                 237,         -1.43737,         -4.50229,          0.09836,          0.99674
                 238,         -1.23279,         -3.77757,          0.09983,          0.99614
                 239,         -1.07123,         -3.55255,          0.09745,          0.99590
                 240,         -1.53129,         -3.80715,          0.09830,          0.99451
                 241,         -1.16378,         -2.56245,          0.10099,          0.99433
                 242,         -1.48002,         -2.30874,          0.10278,          0.99378
                 243,         -1.32411,         -2.13183,          0.09794,          0.99316
                 244,         -1.29605,         -3.12148,          0.09599,          0.99447
                 245,         -1.27278,         -2.61743,          0.09370,          0.99314
                 246,         -1.17742,         -4.09485,          0.09545,          0.99009
                 247,         -1.14564,         -2.01133,          0.10155,          0.99284
                 248,         -1.44236,         -4.30867,          0.11019,          0.99175
                 249,         -1.18912,         -2.47461,          0.11589,          0.99037
                 250,         -1.35950,         -4.42314,          0.10095,          0.99553
                 251,         -1.32167,         -2.20329,          0.11179,          0.99144
                 252,         -1.44358,         -4.94034,          0.10835,          0.98883
                 253,         -1.16548,         -1.69545,          0.10021,          0.99075
                 254,         -1.31273,         -3.87058,          0.09624,          0.99282
                 255,         -1.16715,         -5.03339,          0.10258,          0.99211
                 256,         -1.17640,         -2.45073,          0.10530,          0.98158
                 257,         -1.20357,         -3.54322,          0.09822,          0.99009
                 258,         -1.38410,         -2.77233,          0.09346,          0.99420
                 259,         -1.21016,         -3.21438,          0.09639,          0.98918
                 260,         -1.30191,         -3.47353,          0.10598,          0.98898
                 261,         -1.22776,         -2.86294,          0.10961,          0.98805
                 262,         -1.62554,         -4.15315,          0.10083,          0.98611
                 263,         -1.13383,         -2.49382,          0.09010,          0.98997
                 264,         -1.49806,         -1.72605,          0.10274,          0.99276
                 265,         -1.47577,         -2.18601,          0.10926,          0.98519
                 266,         -1.43399,         -2.65441,          0.10254,          0.99106
                 267,         -1.33847,         -1.97061,          0.09775,          0.98998
                 268,         -1.33320,         -2.35792,          0.10019,          0.98687
                 269,         -1.29445,         -4.67594,          0.09715,          0.98997
                 270,         -1.38492,         -3.02859,          0.09317,          0.98445
                 271,         -1.37464,         -2.71224,          0.09205,          0.98625
                 272,         -1.41992,         -2.96547,          0.10625,          0.97726
                 273,         -1.42530,         -1.41126,          0.09948,          0.98696
                 274,         -1.45145,         -3.18930,          0.09312,          0.98344
                 275,         -1.27593,         -2.35238,          0.09446,          0.97222
                 276,         -1.33270,         -2.08502,          0.09557,          0.97465
                 277,         -1.38864,         -3.75206,          0.09379,          0.97592
                 278,         -1.24730,         -2.28677,          0.09519,          0.97938
                 279,         -1.33132,         -3.07288,          0.10315,          0.97742
                 280,         -1.55229,         -3.04062,          0.10008,          0.98355
                 281,         -1.31863,         -2.04982,          0.09876,          0.98345
                 282,         -1.35639,         -2.58765,          0.09477,          0.98544
                 283,         -1.32850,         -1.62653,          0.08936,          0.97901
                 284,         -1.24752,         -1.88873,          0.09142,          0.97548
                 285,         -1.34674,         -2.68321,          0.09024,          0.97717
                 286,         -1.28531,         -2.14316,          0.09454,          0.97217
                 287,         -1.36472,         -1.83253,          0.09279,          0.98561
                 288,         -1.28118,         -2.00039,          0.09015,          0.97855
                 289,         -1.19866,         -1.58362,          0.09648,          0.97127
                 290,         -1.23240,         -2.49264,          0.08854,          0.97152
                 291,         -1.30400,         -2.87277,          0.08622,          0.97311
                 292,         -1.26318,         -2.08388,          0.09926,          0.97988
                 293,         -1.25850,         -1.94557,          0.09447,          0.98470
                 294,         -1.18457,         -2.08772,          0.08271,          0.98668
                 295,         -1.24702,         -1.73749,          0.08974,          0.97486
                 296,         -1.08954,         -2.23887,          0.09123,          0.97233
                 297,         -1.09041,         -2.87052,          0.08597,          0.97152
                 298,         -1.33714,         -2.81444,          0.08710,          0.97984
