# TRAINING ITERATION,         BCE_LOSS,         MSE_LOSS,     JACCARD_LOSS
                 426,          0.01924,          0.00493,          0.93553
                 427,          0.01658,          0.00424,          0.90658
                 428,          0.01646,          0.00428,          0.97246
                 429,          0.01917,          0.00499,          0.93635
                 430,          0.02294,          0.00606,          0.94011
                 431,          0.01810,          0.00465,          0.87088
                 432,          0.01998,          0.00507,          0.89042
                 433,          0.02108,          0.00535,          0.90291
                 434,          0.02136,          0.00550,          0.92020
                 435,          0.01733,          0.00440,          0.90852
                 436,          0.01903,          0.00489,          0.96037
                 437,          0.01969,          0.00515,          0.94953
                 438,          0.01830,          0.00468,          0.90271
                 439,          0.01848,          0.00472,          0.89790
                 440,          0.01794,          0.00463,          0.85238
                 441,          0.01885,          0.00486,          0.91999
                 442,          0.01994,          0.00516,          0.93872
                 443,          0.01824,          0.00467,          0.92302
                 444,          0.02073,          0.00536,          0.93180
                 445,          0.02218,          0.00575,          0.90802
                 446,          0.01932,          0.00492,          0.88078
                 447,          0.02127,          0.00545,          0.89297
                 448,          0.01685,          0.00421,          0.92280
                 449,          0.01696,          0.00441,          0.90997
                 450,          0.02033,          0.00528,          0.93592
                 451,          0.02076,          0.00545,          0.90530
                 452,          0.01712,          0.00437,          0.84684
                 453,          0.01888,          0.00485,          0.81573
                 454,          0.02262,          0.00581,          0.78944
                 455,          0.01968,          0.00511,          0.74209
                 456,          0.01847,          0.00475,          0.81488
                 457,          0.01974,          0.00512,          0.88229
                 458,          0.01687,          0.00440,          0.92105
                 459,          0.02036,          0.00520,          0.90408
                 460,          0.01858,          0.00481,          0.87645
                 461,          0.02081,          0.00541,          0.85157
                 462,          0.01759,          0.00447,          0.80183
                 463,          0.01962,          0.00505,          0.82670
                 464,          0.02277,          0.00594,          0.79621
                 465,          0.01657,          0.00424,          0.84157
                 466,          0.01780,          0.00460,          0.82057
                 467,          0.02126,          0.00548,          0.89158
                 468,          0.02065,          0.00539,          0.85070
                 469,          0.01595,          0.00412,          0.81639
                 470,          0.01899,          0.00495,          0.79128
