#           MSE_LOSS,        MSE_LOSS_NULL,       MSE_LOSS_INPUT,         JACCARD_LOSS,    JACCARD_LOSS_NULL,   JACCARD_LOSS_INPUT
             0.03822,              0.03760,              0.01782,              0.33660,              0.25753,              0.16471
             0.03748,              0.04102,              0.01410,              0.35548,              0.30657,              0.15087
             0.04059,              0.05005,              0.01426,              0.39208,              0.39652,              0.15074
             0.03462,              0.03979,              0.00997,              0.40090,              0.37130,              0.11111
             0.02583,              0.03003,              0.01078,              0.38187,              0.34167,              0.16338
             0.01874,              0.02124,              0.00776,              0.31494,              0.28339,              0.12811
             0.01924,              0.01929,              0.00755,              0.31210,              0.25321,              0.14338
             0.02562,              0.02490,              0.00934,              0.37069,              0.29651,              0.18152
             0.03883,              0.04761,              0.01154,              0.52660,              0.50914,              0.20552
             0.03417,              0.04663,              0.01130,              0.55182,              0.52617,              0.20619
             0.01442,              0.02051,              0.01059,              0.25658,              0.26415,              0.19217
             0.01421,              0.01514,              0.00586,              0.23438,              0.19558,              0.07797
             0.01759,              0.01782,              0.00809,              0.27300,              0.21988,              0.14238
             0.01704,              0.01587,              0.00851,              0.24590,              0.18362,              0.13150
             0.01785,              0.01514,              0.01051,              0.27224,              0.17318,              0.16389
             0.02051,              0.02173,              0.00825,              0.33030,              0.26254,              0.18375
             0.02602,              0.02881,              0.00979,              0.37017,              0.31892,              0.16667
             0.01816,              0.02075,              0.01009,              0.30321,              0.24286,              0.17188
             0.02099,              0.02344,              0.00861,              0.30986,              0.27429,              0.14067
             0.03623,              0.03979,              0.01093,              0.48205,              0.42448,              0.17241
             0.04138,              0.04736,              0.01199,              0.52217,              0.47783,              0.19394
             0.02877,              0.02954,              0.01586,              0.38303,              0.30946,              0.26471
             0.02227,              0.02197,              0.01432,              0.29899,              0.22785,              0.22310
             0.02700,              0.03198,              0.01212,              0.38228,              0.33590,              0.17460
             0.01868,              0.02759,              0.01029,              0.37086,              0.36452,              0.16667
             0.02691,              0.03662,              0.00589,              0.62667,              0.63291,              0.11737
             0.03243,              0.03735,              0.00505,              0.72558,              0.68919,              0.20833
             0.02728,              0.03247,              0.00731,              0.52290,              0.49627,              0.18478
             0.01554,              0.01660,              0.00726,              0.28417,              0.24028,              0.15678
             0.01859,              0.01929,              0.00605,              0.29193,              0.24843,              0.10993
             0.03642,              0.04468,              0.00965,              0.49077,              0.47287,              0.17434
             0.02055,              0.02954,              0.00872,              0.32239,              0.34375,              0.13651
             0.01289,              0.01685,              0.00596,              0.22968,              0.23711,              0.10417
             0.02299,              0.02710,              0.00467,              0.45018,              0.42045,              0.09312
             0.02215,              0.02100,              0.01473,              0.24351,              0.17623,              0.16344
             0.04886,              0.05786,              0.01544,              0.50392,              0.48073,              0.16568
             0.03890,              0.04370,              0.01579,              0.58754,              0.54908,              0.25893
             0.02115,              0.02710,              0.01051,              0.46522,              0.46444,              0.27586
             0.02409,              0.03076,              0.00713,              0.45312,              0.47547,              0.18090
             0.03322,              0.04053,              0.00743,              0.61268,              0.57840,              0.14847
             0.01781,              0.02002,              0.00698,              0.42358,              0.35965,              0.18408
             0.02853,              0.03174,              0.00820,              0.57724,              0.53061,              0.21782
             0.02802,              0.03076,              0.00892,              0.51515,              0.46840,              0.26316
             0.03537,              0.03882,              0.01183,              0.51966,              0.45299,              0.26515
             0.03901,              0.03320,              0.01708,              0.48598,              0.33333,              0.28909
             0.03474,              0.02832,              0.02310,              0.43297,              0.26790,              0.30714
             0.03197,              0.02612,              0.02351,              0.39860,              0.25659,              0.31280
             0.02872,              0.03296,              0.02315,              0.41602,              0.34177,              0.31633
             0.02962,              0.03833,              0.01741,              0.45232,              0.42204,              0.29275
             0.02559,              0.03076,              0.01128,              0.44248,              0.38415,              0.18065
