#           MSE_LOSS,        MSE_LOSS_NULL,       MSE_LOSS_INPUT,         JACCARD_LOSS,    JACCARD_LOSS_NULL,   JACCARD_LOSS_INPUT
             0.00263,              0.00537,              0.00309,              0.13978,              0.21154,              0.17000
             0.00249,              0.00464,              0.00256,              0.15306,              0.18812,              0.14583
             0.00135,              0.00537,              0.00395,              0.07000,              0.21359,              0.20588
             0.01304,              0.01245,              0.01629,              0.26000,              0.19392,              0.28676
             0.01148,              0.01416,              0.01688,              0.27155,              0.23293,              0.33712
             0.00863,              0.01636,              0.01939,              0.22330,              0.27686,              0.36255
             0.00612,              0.01367,              0.01726,              0.18519,              0.24561,              0.34615
             0.00573,              0.01099,              0.01276,              0.16854,              0.21951,              0.28774
             0.00680,              0.01172,              0.00976,              0.19277,              0.25263,              0.22917
             0.00466,              0.01343,              0.01253,              0.15972,              0.30220,              0.30435
             0.00578,              0.01562,              0.01286,              0.23622,              0.38323,              0.34118
             0.00362,              0.01611,              0.01399,              0.21875,              0.44295,              0.42857
             0.00236,              0.01660,              0.01345,              0.15190,              0.51128,              0.43284
             0.00226,              0.01343,              0.01143,              0.15873,              0.50926,              0.46789
             0.00409,              0.01245,              0.00835,              0.29688,              0.52577,              0.41379
             0.00459,              0.01343,              0.00853,              0.29412,              0.60440,              0.46250
             0.00235,              0.01245,              0.01138,              0.15493,              0.60000,              0.56471
             0.00340,              0.01221,              0.00808,              0.19481,              0.55556,              0.44304
             0.00405,              0.01099,              0.00743,              0.20225,              0.48913,              0.37931
             0.00306,              0.01294,              0.00967,              0.16484,              0.54082,              0.44898
             0.02117,              0.02563,              0.02752,              0.15647,              0.15328,              0.19550
             0.02015,              0.02173,              0.02859,              0.14815,              0.13264,              0.20531
             0.01970,              0.02246,              0.02566,              0.14928,              0.13569,              0.18272
             0.02011,              0.02197,              0.02386,              0.15385,              0.13333,              0.17280
