----------------------------------------------------------------------
RUN TRAINING:

E:   1/10000 | B: 151/625 | I:   151 | T: 290.7 | dt: 1.80 || LOSSES: BCE 0.0377 | MSE 0.0100 | JACCARD 0.9967 | 
E:   1/10000 | B: 152/625 | I:   152 | T: 292.5 | dt: 1.79 || LOSSES: BCE 0.0343 | MSE 0.0091 | JACCARD 0.9671 | 
E:   1/10000 | B: 153/625 | I:   153 | T: 294.3 | dt: 1.79 || LOSSES: BCE 0.0297 | MSE 0.0078 | JACCARD 0.9967 | 
E:   1/10000 | B: 154/625 | I:   154 | T: 296.1 | dt: 1.77 || LOSSES: BCE 0.0335 | MSE 0.0090 | JACCARD 0.9638 | 
E:   1/10000 | B: 155/625 | I:   155 | T: 297.9 | dt: 1.77 || LOSSES: BCE 0.0318 | MSE 0.0084 | JACCARD 1.0000 | 
E:   1/10000 | B: 156/625 | I:   156 | T: 299.7 | dt: 1.78 || LOSSES: BCE 0.0284 | MSE 0.0074 | JACCARD 1.0000 | 
E:   1/10000 | B: 157/625 | I:   157 | T: 301.4 | dt: 1.78 || LOSSES: BCE 0.0348 | MSE 0.0091 | JACCARD 1.0000 | 
E:   1/10000 | B: 158/625 | I:   158 | T: 303.2 | dt: 1.77 || LOSSES: BCE 0.0363 | MSE 0.0094 | JACCARD 0.9967 | 
E:   1/10000 | B: 159/625 | I:   159 | T: 305.0 | dt: 1.78 || LOSSES: BCE 0.0357 | MSE 0.0092 | JACCARD 1.0000 | 
E:   1/10000 | B: 160/625 | I:   160 | T: 306.8 | dt: 1.79 || LOSSES: BCE 0.0348 | MSE 0.0091 | JACCARD 0.9901 | 
E:   1/10000 | B: 161/625 | I:   161 | T: 308.6 | dt: 1.78 || LOSSES: BCE 0.0363 | MSE 0.0098 | JACCARD 1.0000 | 
E:   1/10000 | B: 162/625 | I:   162 | T: 310.4 | dt: 1.78 || LOSSES: BCE 0.0440 | MSE 0.0118 | JACCARD 0.9967 | 
E:   1/10000 | B: 163/625 | I:   163 | T: 312.1 | dt: 1.77 || LOSSES: BCE 0.0366 | MSE 0.0096 | JACCARD 1.0000 | 
E:   1/10000 | B: 164/625 | I:   164 | T: 313.9 | dt: 1.78 || LOSSES: BCE 0.0366 | MSE 0.0097 | JACCARD 1.0000 | 
E:   1/10000 | B: 165/625 | I:   165 | T: 315.7 | dt: 1.78 || LOSSES: BCE 0.0385 | MSE 0.0101 | JACCARD 1.0000 | 
E:   1/10000 | B: 166/625 | I:   166 | T: 317.5 | dt: 1.78 || LOSSES: BCE 0.0399 | MSE 0.0109 | JACCARD 0.9868 | 
E:   1/10000 | B: 167/625 | I:   167 | T: 319.3 | dt: 1.79 || LOSSES: BCE 0.0366 | MSE 0.0098 | JACCARD 0.9967 | 
E:   1/10000 | B: 168/625 | I:   168 | T: 321.1 | dt: 1.80 || LOSSES: BCE 0.0381 | MSE 0.0102 | JACCARD 0.9967 | 
E:   1/10000 | B: 169/625 | I:   169 | T: 322.8 | dt: 1.78 || LOSSES: BCE 0.0369 | MSE 0.0099 | JACCARD 0.9901 | 
E:   1/10000 | B: 170/625 | I:   170 | T: 324.6 | dt: 1.78 || LOSSES: BCE 0.0338 | MSE 0.0088 | JACCARD 0.9770 | 
E:   1/10000 | B: 171/625 | I:   171 | T: 326.4 | dt: 1.80 || LOSSES: BCE 0.0314 | MSE 0.0083 | JACCARD 1.0000 | 
E:   1/10000 | B: 172/625 | I:   172 | T: 328.2 | dt: 1.77 || LOSSES: BCE 0.0310 | MSE 0.0083 | JACCARD 0.9901 | 
E:   1/10000 | B: 173/625 | I:   173 | T: 330.0 | dt: 1.78 || LOSSES: BCE 0.0349 | MSE 0.0093 | JACCARD 0.9868 | 
